Latitud,Longitud,Municipio ,Departamento,Altitud (m),Temperatura promedio (°C),Precipitación anual (mm),No parcelaciones
"4,617","-75,637",Circasia,Quindío,1800,18,2300,2
"5,069","-75,517",Manizales,Caldas,2100,"13,5",1500,2
